1	225			220
1	227	USER	ind@psg420.com	
1	229			331
1	231	PASS	{6r_6e#TfT1p	
1	233			230
1	237			200
1	241			227
1	248			213
1	252			150
1	665			226
1	1107			200
1	1111			227
1	1118			213
1	1122			150
1	1199			226
1	1291			200
1	1295			227
1	1302			213
1	1306			150
1	1974			226
1	2441			200
1	2445			227
1	2452			213
1	2456			150
1	2532			226
1	2639			200
1	2643			227
1	2650			213
1	2654			150
1	2743			226
1	2830			200
1	2834			227
1	2841			150
1	2851			226
1	2857			200
1	2861			227
1	2868			150
1	2878			226
1	2884			200
1	2888			227
1	2895			150
1	2905			226
1	2911			200
1	2915			227
1	2922			150
1	2934			226
1	2938			200
1	2942			227
1	2949			150
1	2959			226
